Player,Club,Positions,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card,Defensive duels,Defensive duels won,Loose ball duels,Loose ball duels won,Sliding tackles,Sliding tackles successful,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels,Offensive duels won,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes,Through passes accurate,xA,Second assists,Passes to final third,Passes to final third accurate,Passes to penalty area,Passes to penalty area accurate,Received passes,Forward passes,Forward passes accurate,Back passes,Back passes accurate,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Passes to GK,Passes to GK accurate,Goal kicks,Short goal kicks,Long goal kicks
H. Kane,Bayern München,"AMF, CF, CF",4989.0,2256.0,1358.0,48.0,11.0,199.0,105.0,39.849999999999994,1162.0,946.0,128.0,97.0,48.0,16.0,103.0,58.0,685.0,291.0,134.0,57.0,84.0,384.0,75.0,133.0,79.0,502.0,0.0,88.0,56.0,120.0,47.0,5.0,2.0,17.0,27.0,8.0,0.0,44.0,343.0,131.0,263.0,29.0,42.0,52.0,29.0,15.0,5.880000000000001,3.0,144.0,104.0,107.0,72.0,1013.0,254.0,165.0,286.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0
S. McTominay,Napoli,"AMF, AMF, LAMF, AMF, RDMF, CF, LCMF, LCMF, LW, LCMF, RCMF, LCMF3, LCMF3, LDMF, LCMF3, LWF, LDMF, LWF, RDMF, RW",4163.0,2357.0,1472.0,16.0,3.0,105.0,47.0,13.83,1159.0,1019.0,56.0,36.0,25.0,6.0,118.0,67.0,863.0,376.0,166.0,83.0,100.0,353.0,118.0,202.0,64.0,244.0,0.0,169.0,99.0,108.0,34.0,4.0,1.0,43.0,56.0,4.0,0.0,11.0,420.0,160.0,141.0,8.0,89.0,77.0,9.0,2.0,0.7,0.0,121.0,92.0,44.0,28.0,917.0,273.0,208.0,309.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0
G. Donnarumma,PSG,GK,5408.0,1634.0,1331.0,0.0,0.0,0.0,0.0,0.0,1149.0,1054.0,219.0,133.0,0.0,0.0,0.0,0.0,51.0,39.0,27.0,22.0,59.0,118.0,57.0,185.0,0.0,214.0,0.0,4.0,2.0,16.0,12.0,1.0,0.0,22.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,35.0,14.0,0.0,0.0,860.0,427.0,347.0,1.0,1.0,56.0,55.150000000000006,195.0,139.0,95.0,70.0,0.0,0.0,258.0,145.0,113.0
V. van Dijk,Liverpool,"CB, LCB, LCB, LCB, LCB3",5781.0,5202.0,4452.0,6.0,1.0,31.0,12.0,3.7300000000000004,4166.0,3897.0,332.0,200.0,1.0,0.0,10.0,9.0,636.0,433.0,270.0,185.0,284.0,432.0,191.0,695.0,180.0,584.0,77.0,218.0,163.0,101.0,59.0,0.0,0.0,173.0,31.0,9.0,1.0,11.0,47.0,26.0,46.0,0.0,52.0,18.0,34.0,9.0,0.83,1.0,630.0,508.0,42.0,20.0,3208.0,1541.0,1346.0,158.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,109.0,17.0
L. Martínez,Internazionale,"CF, CF, LWF, DMF, CF, LW, LWF, RCMF3, CF",4755.0,2540.0,1326.0,27.0,3.0,153.0,66.0,27.049999999999997,1092.0,856.0,54.0,37.0,32.0,7.0,112.0,57.0,929.0,379.0,157.0,62.0,97.0,514.0,145.0,165.0,89.0,207.0,0.0,173.0,93.0,178.0,65.0,30.0,16.0,31.0,62.0,4.0,0.0,46.0,421.0,159.0,239.0,35.0,60.0,82.0,15.0,5.0,5.709999999999999,2.0,101.0,69.0,64.0,38.0,889.0,236.0,151.0,262.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
L. Díaz,Liverpool,"AMF, LAMF, CF, CF, LAMF, CF, LAMF, RW, CF, LCMF3, CF, LW, LWB, CF, LWF, LAMF, LAMF, LW, LAMF, RW, LW, LW, LWB, LWF, LWF, RWF, RAMF, RWF",4528.0,3087.0,1783.0,24.0,4.0,111.0,50.0,18.080000000000005,1472.0,1250.0,88.0,65.0,76.0,24.0,264.0,140.0,1137.0,446.0,122.0,36.0,66.0,464.0,110.0,150.0,88.0,209.0,0.0,290.0,148.0,138.0,34.0,10.0,4.0,9.0,90.0,4.0,0.0,64.0,587.0,228.0,238.0,21.0,180.0,67.0,12.0,6.0,7.800000000000001,2.0,120.0,92.0,112.0,72.0,1243.0,255.0,198.0,364.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
D. Dumfries,Internazionale,"LW, RWB, RB, RB, RB5, RB, RCB3, RB5, RB5, RWB, RW, RWB",4342.0,2601.0,1543.0,15.0,7.0,63.0,29.0,11.079999999999998,1365.0,1065.0,76.0,34.0,144.0,48.0,106.0,61.0,837.0,418.0,172.0,111.0,141.0,467.0,122.0,250.0,95.0,549.0,0.0,267.0,157.0,112.0,35.0,4.0,1.0,64.0,94.0,9.0,0.0,41.0,286.0,115.0,152.0,13.0,79.0,40.0,11.0,4.0,6.68,3.0,111.0,65.0,110.0,54.0,1114.0,322.0,203.0,402.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0
A. Hakimi,PSG,"LB, RB, RB, RWB, RWB",5992.0,6278.0,4800.0,15.0,14.0,98.0,44.0,10.47,4739.0,4168.0,198.0,116.0,212.0,67.0,159.0,88.0,978.0,486.0,61.0,26.0,220.0,725.0,229.0,497.0,217.0,570.0,0.0,394.0,241.0,107.0,36.0,3.0,2.0,52.0,63.0,10.0,0.0,104.0,416.0,183.0,209.0,17.0,173.0,73.0,20.0,7.0,12.87,6.0,447.0,390.0,229.0,120.0,4021.0,1345.0,1113.0,910.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0
J. Bellingham,Real Madrid,"AMF, AMF, CF, AMF, LW, AMF, RCMF, AMF, RDMF, CF, LCMF, LCMF, LCMF3, LCMF3, LW, LW, LW, CF, LW, RCMF, LW, RW, RCMF, RCMF3, RCMF3, RWF, CF, RDMF, CF",5858.0,5056.0,3534.0,16.0,11.0,130.0,49.0,20.63,3125.0,2790.0,157.0,102.0,64.0,17.0,206.0,127.0,1294.0,620.0,171.0,77.0,181.0,619.0,148.0,281.0,165.0,901.0,164.0,328.0,185.0,157.0,50.0,68.0,34.0,67.0,77.0,15.0,2.0,72.0,638.0,308.0,224.0,14.0,148.0,137.0,61.0,26.0,8.26,1.0,404.0,331.0,163.0,89.0,2662.0,751.0,604.0,628.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0
Íñigo Martínez,Barcelona,"LB, LCB, LCB, LCB, LCB3",4556.0,4519.0,3815.0,3.0,4.0,15.0,6.0,1.3900000000000001,3692.0,3400.0,310.0,181.0,18.0,5.0,7.0,5.0,506.0,310.0,161.0,91.0,190.0,354.0,158.0,502.0,122.0,550.0,0.0,197.0,141.0,87.0,45.0,23.0,17.0,115.0,32.0,9.0,0.0,11.0,61.0,33.0,23.0,0.0,118.0,35.0,36.0,15.0,1.5099999999999998,3.0,594.0,504.0,41.0,15.0,2878.0,1517.0,1311.0,188.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,0.0,18.0,0.0
